N,P,K,Temperature,Humidity,pH,Rainfall,Leaf Color,Fertility Score (%),Interpretation,Fertilizer Recommendation,Crop Recommendation
34,125,198,28.1,77.62,6.57,39.51,Dark Green,78.33,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
48,138,51,30.05,69.13,6.45,259.59,Pale Green,26.59,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
16,99,3,28.58,96.1,6.96,47.18,Very Dark Green,99.03,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
45,76,58,23.9,16.21,8.69,92.94,Green,2.58,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
116,2,71,21.39,15.13,9.38,87.01,Green,60.35,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
5,133,147,35.9,35.4,5.95,261.42,Light Yellowish Green,65.95,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
98,9,92,25.57,33.55,8.47,201.81,Dark Green,68.8,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
123,4,62,24.38,32.23,8.09,239,Green,12.04,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
36,137,53,10.77,91.56,6.94,75.14,Dark Green,93.85,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
23,129,116,20.24,32.46,9.24,187.46,Green,18.12,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
92,12,109,21.41,34.48,4.7,171.52,Light Yellowish Green,62.28,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
45,129,73,21.96,78.35,4.16,249.85,Pale Green,22.27,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
94,83,106,27.41,50.48,8.62,271.83,Light Yellowish Green,30.72,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
98,64,56,26.01,79.9,6.13,3.65,Very Dark Green,54.65,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
115,62,168,28.24,15.88,8.58,202.21,Green,41.72,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
66,100,2,32.95,53.88,8.86,15.55,Very Dark Green,16.02,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
127,72,119,34.39,13.03,3.87,164.66,Very Dark Green,17.09,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
17,16,5,31.54,15.64,8.8,86.29,Dark Green,41.81,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
24,8,4,38.67,91.58,6.19,92.03,Green,75.73,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
53,37,4,10.55,22.53,6.56,105.89,Very Dark Green,89.8,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
57,93,53,15.87,57.92,7.26,186.39,Pale Green,8.41,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
66,94,46,10.23,47,9.06,100.21,Very Dark Green,39.31,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
103,48,176,29.42,41.26,3.61,219.81,Pale Green,10.02,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
23,68,8,36.94,90.99,6.36,121.36,Dark Green,1.66,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
113,61,98,17.3,11.96,7.63,20.51,Very Dark Green,66.17,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
31,77,19,37.81,69.74,7.84,235.13,Light Yellowish Green,60.24,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
85,116,121,11.81,96.71,7.66,85.73,Dark Green,16.3,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
126,119,60,38.03,60.42,4.31,129.83,Pale Green,23.38,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
129,136,122,20.55,94.31,5.3,205.63,Dark Green,2.37,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
16,75,162,13.04,14.7,5.65,99.74,Very Dark Green,83.49,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
103,34,177,24.58,47.69,8.33,16.98,Green,97.47,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
136,0,81,17.7,33.41,5.17,112.18,Green,13.55,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
42,39,61,18.55,75.77,4.76,283.33,Pale Green,23.15,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
38,63,144,19.22,98.32,9.24,192.52,Pale Green,86.84,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
25,59,2,34.09,33.09,3.55,201.44,Green,92.65,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
98,63,159,26.17,68.88,9.49,189.68,Pale Green,41.96,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
49,92,12,19.34,27.83,7.56,59.7,Dark Green,5.06,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
12,71,119,28.31,60.88,8.47,125.5,Light Yellowish Green,3.94,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
59,10,124,31.48,51.75,5.27,225.28,Light Yellowish Green,57.39,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
134,104,88,18.18,97.48,3.59,30.41,Dark Green,39.29,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
56,13,72,22.41,64.77,7.93,83.36,Light Yellowish Green,2.87,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
35,59,67,13.66,41.46,8.5,82.9,Very Dark Green,58.33,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
19,29,141,15.43,20.27,7.94,129.61,Dark Green,1.13,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
64,34,100,30.43,23.61,4.36,294.11,Pale Green,78.74,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
7,4,97,15.44,30.28,8.02,20.25,Dark Green,30.64,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
114,82,10,25.75,32.59,8.11,155.61,Green,4.03,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
91,122,104,31.27,86.56,7.45,53.81,Pale Green,58.84,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
97,77,183,13.21,60.51,8.1,291.2,Green,39.77,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
65,61,66,27.02,57.11,8.58,33.99,Pale Green,97.38,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
31,131,122,17.7,20.33,7.18,121.08,Light Yellowish Green,54.42,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
85,88,28,38.89,87.41,4.03,221.37,Dark Green,27.52,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
50,41,136,24.51,75.05,6.43,211.37,Very Dark Green,70.94,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
62,88,194,34.18,16.09,3.97,126.82,Pale Green,27.15,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
124,39,152,26.51,73.71,5.95,103.96,Pale Green,90.42,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
57,71,75,11.3,58.92,5.94,119.28,Green,37.47,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
57,38,169,28.99,17.36,3.9,79.28,Light Yellowish Green,54.99,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
85,103,8,38.54,51.25,5.59,61.6,Green,5.06,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
48,13,39,28.05,53.62,4.17,144.91,Green,42.61,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
69,31,24,34.58,24.92,8.35,80.56,Light Yellowish Green,83.24,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
14,124,4,36.53,95.11,9.19,86.24,Very Dark Green,80.56,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
53,96,138,16.84,86.5,3.93,197.03,Green,22.43,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
100,22,186,16.36,70.21,9.23,290.56,Green,22.61,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
7,62,123,28.33,51.61,6.64,181.09,Pale Green,81.73,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
52,52,37,22.33,47.06,5.3,23.09,Light Yellowish Green,93.04,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
59,103,71,35.2,68.59,3.96,22.68,Dark Green,9.54,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
107,103,132,37,59.09,6.5,285.43,Very Dark Green,45.01,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
4,38,175,20.6,15.6,8.27,89.19,Very Dark Green,33.75,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
102,133,89,17.11,56.13,7.74,27.62,Light Yellowish Green,87.07,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
5,66,145,33.42,82.58,3.8,179.71,Pale Green,8.35,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
108,134,197,18.24,51.33,3.94,187.09,Pale Green,21.11,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
115,41,36,34.68,14.68,5.92,194.55,Light Yellowish Green,75.25,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
93,14,59,22.71,80.77,5.27,80.22,Pale Green,5.13,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
46,110,175,30.03,28.12,4.89,4.53,Very Dark Green,49.25,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
98,32,27,12.87,33.28,5.19,289.5,Very Dark Green,44.21,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
54,37,196,28.72,24.82,8.32,75.27,Dark Green,33.44,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
51,96,80,23.55,39.72,9.08,202.81,Light Yellowish Green,39.46,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
12,32,113,27.6,78.11,5.93,211.99,Green,52.99,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
113,85,39,15.04,56.74,8.94,183,Green,16.14,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
123,65,44,32.11,28.44,5.43,93.87,Dark Green,57.2,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
105,9,61,35.88,89,6.36,81.33,Dark Green,80.54,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
119,4,92,16.5,89.16,4.86,179.3,Pale Green,76.02,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
62,122,114,12.87,88.35,7.34,259.83,Dark Green,15.39,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
18,73,185,10.71,31.49,9.37,284.02,Dark Green,14.92,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
91,96,66,29.26,50.61,7.12,31.77,Green,26.82,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
57,117,55,28.21,98.65,5.65,46.45,Pale Green,36.11,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
89,37,39,26.4,79.48,7.39,283.42,Dark Green,40.85,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
116,46,97,16.96,12.45,4.24,220.96,Dark Green,67.97,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
61,108,39,21.73,15.87,8.83,264.9,Pale Green,5.67,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
22,14,90,27.83,51.75,6.52,60.79,Light Yellowish Green,3.47,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
126,135,32,24.9,91.83,6.2,176.28,Pale Green,39.19,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
136,4,5,39.63,58.48,7.02,210.34,Green,69.72,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
139,46,146,14.09,54.8,7.25,204.03,Light Yellowish Green,19.34,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
128,67,79,30.85,19.49,3.93,122.45,Very Dark Green,64.15,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
57,75,167,22.13,69.11,7.6,4.62,Pale Green,25.98,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
121,129,91,22.85,83.99,4.95,174.88,Green,88.61,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
0,94,96,31.53,44.24,7.78,75.93,Light Yellowish Green,89.57,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
33,114,58,30.77,79.81,8.44,135.08,Pale Green,29.73,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
95,35,58,39.74,96.8,8.32,287.27,Dark Green,23,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
125,25,47,13.85,28.34,6.82,119.71,Pale Green,41.13,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
117,42,168,13.12,57.1,6.62,251.94,Very Dark Green,24.05,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
47,26,12,31.73,35.84,4.36,56.56,Pale Green,67.24,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
88,68,106,27.35,81.36,8.15,201.74,Light Yellowish Green,82.61,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
116,10,44,18.22,61.98,5.13,293.1,Light Yellowish Green,67.31,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
128,73,88,12.38,67.11,6.48,30.57,Pale Green,82.44,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
15,103,180,12.57,81.81,5.21,2.5,Light Yellowish Green,39.7,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
68,37,169,36.83,45.64,4.3,130.07,Dark Green,15.63,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
21,133,99,15.76,92.36,7.28,27.79,Pale Green,73.8,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
92,22,190,19.7,57.97,3.83,224.52,Dark Green,36.05,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
75,46,154,16.8,24.22,7.99,274.36,Dark Green,67.13,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
85,89,165,20.65,72.63,5.41,130.21,Green,27.06,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
28,45,187,12.08,81.39,3.5,77.61,Pale Green,8.12,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
68,106,6,25.57,38.51,6.57,130.32,Light Yellowish Green,99.26,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
46,139,132,12.03,87.15,3.78,217.03,Dark Green,15.62,Very Low Fertility,Apply high-nitrogen fertilizers like Urea or Ammonium Sulfate. Mix into topsoil at 50 kg/acre.,Recommend legumes like beans or lentils that improve soil structure. Water moderately.
93,103,44,34.01,91.55,5.16,2.72,Green,98.84,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
84,110,57,17.01,34.92,7.74,176.84,Pale Green,97.73,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
38,103,30,26.2,98.52,3.88,183.99,Pale Green,79.38,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
99,59,22,36.4,22.66,8.54,191.31,Very Dark Green,65.94,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
32,99,169,29.53,28.18,3.52,72.61,Very Dark Green,57.78,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
100,67,137,25.99,26.58,4.98,214.22,Dark Green,86.61,Very High Fertility,No fertilizer needed; maintain with organic mulching and micronutrient spray monthly.,Recommend high-yield crops like sugarcane or paddy. Monitor moisture and nutrients weekly.
22,132,159,19.73,90.46,7.95,27.42,Very Dark Green,28.94,Low Fertility,Use balanced fertilizers like NPK 10-26-26. Apply at 40 kg/acre during early growth stages.,Recommend millets or sorghum; drought-tolerant and enrich soil. Water twice a week.
9,119,106,19.99,68.89,5.4,59.78,Dark Green,46.77,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
68,36,180,30.08,23.69,4.11,263.24,Light Yellowish Green,61.94,Good Fertility,Apply low-dose organic compost or vermicompost. Use 25 kg/acre before sowing.,Recommend rice or wheat; thrive in balanced soils. Water every 3 days.
99,71,157,39.82,49.63,5.66,221.62,Dark Green,41.12,Moderate Fertility,Use compost or NPK 15-15-15 fertilizer. Apply 35 kg/acre post initial irrigation.,"Recommend maize, sunflower, or cotton. Fertilize monthly. Water as needed."
